data,size,algo,buildtime,querytime,params,recall
pca96v2,10M,Learned-index,6281.3426678180695,958.1041045188904,learned-index-pca96v2-10M-ep=45-lr=0.09-cat=118-model=MLP-2-buck=5-861123.elixir-pbs.elixir-czech.cz,0.90494
pca96v2,10M,Learned-index,35421.712431907654,724.5544946193695,learned-index-pca96v2-10M-ep=195-lr=0.009-cat=120-model=MLP-5-buck=4-859475.elixir-pbs.elixir-czech.cz,0.91329
pca96v2,10M,Learned-index,8294.98737335205,817.7030339241028,learned-index-pca96v2-10M-ep=55-lr=0.1-cat=124-model=MLP-buck=6-861334.elixir-pbs.elixir-czech.cz,0.91021
pca96v2,10M,Learned-index,30234.165107011795,844.9645628929138,learned-index-pca96v2-10M-ep=210-lr=0.009-cat=122-model=MLP-5-buck=4-862509.elixir-pbs.elixir-czech.cz,0.91039
pca96v2,10M,Learned-index,31576.86573600769,497.87305545806885,learned-index-pca96v2-10M-ep=211-lr=0.009-cat=123-model=MLP-6-buck=3-862549.elixir-pbs.elixir-czech.cz,0.87186
pca96v2,10M,Learned-index,29288.832611083984,1586.059966802597,learned-index-pca96v2-10M-ep=210-lr=0.001-cat=120-model=MLP-6-buck=7-858660.elixir-pbs.elixir-czech.cz,0.94535
pca96v2,10M,Learned-index,6910.907114267349,787.0959711074829,learned-index-pca96v2-10M-ep=50-lr=0.11-cat=116-model=MLP-2-buck=5-861562.elixir-pbs.elixir-czech.cz,0.89895
pca96v2,10M,Learned-index,6426.25870847702,788.771322965622,learned-index-pca96v2-10M-ep=50-lr=0.09-cat=118-model=MLP-9-buck=4-861299.elixir-pbs.elixir-czech.cz,0.88712
pca96v2,10M,Learned-index,30080.529881715775,881.7610042095184,learned-index-pca96v2-10M-ep=208-lr=0.009-cat=123-model=MLP-7-buck=6-862522.elixir-pbs.elixir-czech.cz,0.9328
pca96v2,10M,Learned-index,30713.347856521606,700.5108351707458,learned-index-pca96v2-10M-ep=220-lr=0.009-cat=112-model=MLP-4-buck=5-859463.elixir-pbs.elixir-czech.cz,0.92829
pca96v2,10M,Learned-index,7365.590927839279,492.6877555847168,learned-index-pca96v2-10M-ep=50-lr=0.09-cat=114-model=MLP-5-buck=3-861201.elixir-pbs.elixir-czech.cz,0.84934
pca96v2,10M,Learned-index,6221.566754102707,220.40703129768372,learned-index-pca96v2-10M-ep=45-lr=0.1-cat=120-model=MLP-6-buck=1-861484.elixir-pbs.elixir-czech.cz,0.63755
pca96v2,10M,Learned-index,4652.3627915382385,380.9307451248169,learned-index-pca96v2-10M-ep=45-lr=0.09-cat=112-model=MLP-2-buck=2-861120.elixir-pbs.elixir-czech.cz,0.79042
pca96v2,10M,Learned-index,6274.388054132462,489.0871391296387,learned-index-pca96v2-10M-ep=45-lr=0.1-cat=124-model=MLP-6-buck=3-861486.elixir-pbs.elixir-czech.cz,0.85124
pca96v2,10M,Learned-index,28844.645142555237,800.117746591568,learned-index-pca96v2-10M-ep=209-lr=0.007-cat=122-model=MLP-5-buck=4-862218.elixir-pbs.elixir-czech.cz,0.91031
pca96v2,10M,Learned-index,31327.832617282867,841.3840775489807,learned-index-pca96v2-10M-ep=211-lr=0.009-cat=122-model=MLP-7-buck=6-862530.elixir-pbs.elixir-czech.cz,0.93848
pca96v2,10M,Learned-index,7823.03297495842,673.1870837211609,learned-index-pca96v2-10M-ep=55-lr=0.1-cat=118-model=MLP-5-buck=4-861427.elixir-pbs.elixir-czech.cz,0.88253
pca96v2,10M,Learned-index,27791.6899600029,852.2826611995697,learned-index-pca96v2-10M-ep=200-lr=0.1-cat=100-model=MLP-buck=4-858669.elixir-pbs.elixir-czech.cz,0.88964
pca96v2,10M,Learned-index,23983.515476942062,1401.9989778995514,learned-index-pca96v2-10M-ep=190-lr=0.001-cat=125-model=MLP-buck=6-858577.elixir-pbs.elixir-czech.cz,0.93701
pca96v2,10M,Learned-index,12619.841707706451,882.6123125553131,learned-index-pca96v2-10M-ep=100-lr=0.005-cat=100-model=MLP-3-buck=3-853852.elixir-pbs.elixir-czech.cz,0.89348
pca96v2,10M,Learned-index,7009.762431383133,695.5609035491943,learned-index-pca96v2-10M-ep=50-lr=0.11-cat=120-model=MLP-2-buck=4-861564.elixir-pbs.elixir-czech.cz,0.87809
pca96v2,10M,Learned-index,26319.982074975967,4235.687507867813,learned-index-pca96v2-10M-ep=200-lr=0.01-cat=120-model=MLP-7-buck=24-854935.elixir-pbs.elixir-czech.cz,0.98586
pca96v2,10M,Learned-index,30782.08376312256,975.2746357917786,learned-index-pca96v2-10M-ep=195-lr=0.009-cat=110-model=MLP-buck=4-859342.elixir-pbs.elixir-czech.cz,0.91604
pca96v2,10M,Learned-index,5111.339423418045,703.5715570449829,learned-index-pca96v2-10M-ep=50-lr=0.11-cat=110-model=MLP-6-buck=4-861703.elixir-pbs.elixir-czech.cz,0.883
pca96v2,10M,Learned-index,6296.317414283752,689.1301181316376,learned-index-pca96v2-10M-ep=45-lr=0.1-cat=116-model=MLP-9-buck=4-861506.elixir-pbs.elixir-czech.cz,0.8824
pca96v2,10M,Learned-index,29411.974385738373,740.0652823448181,learned-index-pca96v2-10M-ep=210-lr=0.009-cat=116-model=MLP-4-buck=5-859457.elixir-pbs.elixir-czech.cz,0.92905
pca96v2,10M,Learned-index,25681.971705198288,1264.4399445056915,learned-index-pca96v2-10M-ep=190-lr=0.1-cat=120-model=MLP-8-buck=6-858720.elixir-pbs.elixir-czech.cz,0.91328
